Rating;Year;Len;Label
5;2022;388;1
4;2019;182;1
1;2020;167;0
4;2017;27;1
5;2018;27;1
5;2020;7;1
5;2018;12;1
5;2022;325;1
5;2022;123;1
3;2022;137;0
5;2022;96;1
1;2021;867;0
5;2022;380;1
5;2019;98;1
1;2022;283;0
5;2018;67;1
4;2022;159;1
5;2022;71;1
5;2022;273;1
5;2021;116;1
5;2022;157;1
5;2019;56;1
3;2017;112;0
1;2017;73;0
2;2022;119;0
5;2019;94;1
5;2022;83;1
5;2022;76;1
5;2018;95;1
5;2021;249;1
3;2018;247;0
5;2022;151;1
5;2022;48;1
4;2019;200;1
5;2021;238;1
4;2021;62;1
1;2021;519;0
5;2021;257;1
4;2019;160;1
5;2021;425;1
5;2021;479;1
5;2021;499;1
5;2022;85;1
5;2021;195;1
5;2021;370;1
4;2022;86;1
5;2021;196;1
4;2022;85;1
5;2021;213;1
2;2020;494;0
1;2021;340;0
4;2019;104;1
4;2019;334;1
5;2019;161;1
5;2019;222;1
5;2021;254;1
2;2018;416;0
5;2022;61;1
1;2021;207;0
3;2020;299;0
4;2019;44;1
5;2018;154;1
5;2022;61;1
5;2019;74;1
5;2022;37;1
5;2019;104;1
5;2019;245;1
1;2021;304;0
1;2022;83;0
5;2021;131;1
4;2018;125;1
5;2019;63;1
5;2018;105;1
4;2019;63;1
5;2018;97;1
5;2017;91;1
5;2018;108;1
5;2022;50;1
3;2018;271;0
5;2021;88;1
5;2019;184;1
4;2018;85;1
4;2018;99;1
5;2018;64;1
5;2020;201;1
5;2019;72;1
5;2021;329;1
4;2019;107;1
5;2018;93;1
5;2019;110;1
5;2019;93;1
5;2017;106;1
5;2022;56;1
5;2018;74;1
5;2020;25;1
1;2020;380;0
5;2017;118;1
5;2018;84;1
5;2018;98;1
1;2021;133;0
5;2018;127;1
4;2018;365;1
5;2022;38;1
4;2021;100;1
2;2017;129;0
5;2018;64;1
5;2021;102;1
5;2018;55;1
5;2019;165;1
5;2021;97;1
4;2018;41;1
1;2019;486;0
4;2021;94;1
5;2019;100;1
5;2020;155;1
5;2021;118;1
5;2018;38;1
3;2018;253;0
5;2021;42;1
5;2021;60;1
5;2021;121;1
3;2019;55;0
5;2018;34;1
4;2020;159;1
5;2019;110;1
5;2018;43;1
4;2018;162;1
5;2018;50;1
3;2019;41;0
5;2018;113;1
2;2021;131;0
1;2019;334;0
4;2020;76;1
5;2021;126;1
5;2020;114;1
5;2022;33;1
5;2019;96;1
4;2019;124;1
5;2019;61;1
5;2019;48;1
4;2018;81;1
5;2018;331;1
2;2018;418;0
5;2017;91;1
1;2019;112;0
5;2019;45;1
5;2020;119;1
5;2019;58;1
1;2021;91;0
2;2017;64;0
5;2020;60;1
1;2018;71;0
5;2019;196;1
5;2018;51;1
5;2018;33;1
5;2019;144;1
4;2019;33;1
5;2021;43;1
5;2022;31;1
5;2019;38;1
5;2022;9;1
5;2019;275;1
5;2018;29;1
5;2020;52;1
3;2018;115;0
3;2019;165;0
5;2021;91;1
4;2018;58;1
5;2019;44;1
4;2018;58;1
5;2017;32;1
5;2018;36;1
3;2021;97;0
5;2019;99;1
5;2020;183;1
5;2021;91;1
5;2020;65;1
5;2018;38;1
4;2019;40;1
5;2018;31;1
4;2019;48;1
5;2019;40;1
5;2018;29;1
5;2018;36;1
5;2021;56;1
4;2017;100;1
2;2018;109;0
5;2022;18;1
5;2017;22;1
5;2019;71;1
4;2018;84;1
5;2019;256;1
4;2021;42;1
4;2019;158;1
5;2019;76;1
4;2019;39;1
5;2021;98;1
5;2018;63;1
5;2019;70;1
4;2018;58;1
5;2018;49;1
3;2017;47;0
5;2021;48;1
5;2019;82;1
1;2019;116;0
5;2017;58;1
5;2018;82;1
4;2020;41;1
5;2020;74;1
5;2020;62;1
1;2020;126;0
1;2017;93;0
5;2017;30;1
5;2018;15;1
4;2018;67;1
4;2019;61;1
4;2020;68;1
5;2018;42;1
5;2018;44;1
5;2019;28;1
5;2019;98;1
3;2019;38;0
1;2017;158;0
4;2022;15;1
5;2020;100;1
2;2018;70;0
4;2017;67;1
4;2018;33;1
5;2017;57;1
5;2019;396;1
5;2020;79;1
5;2020;17;1
5;2019;59;1
2;2018;132;0
4;2021;56;1
4;2021;43;1
5;2021;56;1
5;2020;13;1
5;2019;17;1
5;2018;51;1
4;2018;99;1
3;2019;81;0
5;2021;19;1
5;2021;37;1
5;2018;88;1
5;2021;44;1
3;2019;377;0
5;2019;13;1
5;2020;79;1
5;2018;50;1
5;2021;60;1
3;2018;42;0
5;2021;22;1
5;2019;22;1
5;2022;11;1
5;2018;143;1
3;2020;657;0
5;2018;28;1
4;2018;221;1
1;2020;98;0
4;2020;25;1
5;2019;53;1
1;2019;33;0
5;2018;25;1
5;2018;15;1
5;2019;44;1
3;2018;91;0
5;2017;15;1
5;2018;18;1
4;2018;42;1
5;2019;24;1
3;2018;12;0
2;2019;26;0
5;2018;40;1
4;2017;26;1
5;2017;33;1
4;2019;24;1
1;2019;54;0
5;2017;17;1
5;2019;20;1
5;2018;29;1
5;2021;15;1
5;2020;33;1
5;2019;24;1
5;2020;21;1
5;2020;9;1
5;2018;28;1
3;2019;51;0
3;2019;11;0
5;2021;9;1
5;2018;14;1
5;2019;8;1
5;2022;0;1
5;2019;9;1
5;2021;18;1
5;2021;19;1
5;2018;41;1
5;2021;4;1
1;2018;33;0
5;2021;13;1
5;2019;20;1
1;2018;42;0
5;2020;9;1
5;2021;22;1
5;2019;26;1
5;2018;25;1
5;2020;4;1
4;2020;0;1
3;2019;10;0
5;2019;9;1
5;2019;9;1
5;2019;21;1
5;2020;6;1
3;2018;26;0
5;2022;0;1
5;2018;0;1
5;2018;9;1
5;2019;12;1
5;2018;5;1
5;2019;13;1
5;2018;3;1
5;2018;6;1
5;2018;13;1
5;2018;16;1
5;2020;12;1
5;2018;0;1
4;2020;0;1
5;2021;0;1
5;2018;0;1
5;2022;0;1
5;2021;0;1
5;2020;0;1
5;2022;0;1
5;2021;0;1
5;2020;0;1
5;2018;0;1
5;2021;0;1
1;2021;0;0
5;2021;0;1
5;2019;0;1
5;2021;0;1
5;2019;0;1
3;2018;0;0
4;2020;0;1
5;2021;0;1
5;2022;0;1
4;2022;0;1
5;2021;0;1
5;2021;0;1
5;2019;0;1
